stamp_sec,p_lidar_x,p_lidar_y,p_lidar_z,v_lidar_x,v_lidar_y,v_lidar_z,speed_2d,fix_type,flags,h_acc_mm,v_acc_mm,s_acc_mm_s,quality
1783929978.157031536,16.958225,-3.017807,-0.087075,-0.001932,-0.549915,0.000000,0.549918,3,131,20,50,50,high
1783929978.337042332,16.965299,-3.135421,-0.087075,0.060039,-0.663865,0.000000,0.666574,3,131,20,50,50,high
1783929978.537116528,16.969033,-3.266823,-0.087075,-0.003684,-0.541144,0.000000,0.541156,3,131,20,50,50,high
1783929978.537384987,16.980704,-3.336096,-0.087075,-0.014857,-0.647352,0.000000,0.647522,3,131,20,50,50,high
1783929978.736988544,16.969426,-3.412014,-0.087075,-0.046016,-0.719699,0.000000,0.721168,3,131,20,50,50,high
1783929978.737048388,16.952725,-3.480955,-0.087075,-0.096266,-0.705562,0.000000,0.712099,3,131,20,50,50,high
1783929978.937029839,16.944788,-3.543085,-0.087075,-0.081007,-0.708900,0.000000,0.713513,3,131,20,50,50,high
1783929978.937144279,16.938933,-3.625980,-0.087075,0.021807,-0.639119,0.000000,0.639491,3,131,20,50,50,high
1783929979.157037020,16.968130,-3.681630,-0.087075,0.206117,-0.516128,0.000000,0.555763,3,131,20,50,50,high
1783929979.337043047,17.021102,-3.785954,-0.087075,0.285039,-0.557375,0.000000,0.626030,3,131,20,50,50,high
1783929979.537062407,17.119973,-3.876986,-0.087076,0.525736,-0.456416,0.000000,0.696214,3,131,20,50,50,high
1783929979.537144661,17.172119,-3.925991,-0.087076,0.595105,-0.477225,0.000000,0.762819,3,131,20,50,50,high
1783929979.737106085,17.245132,-3.947585,-0.087076,0.657370,-0.224915,0.000000,0.694782,3,131,20,50,50,high
1783929979.737171412,17.309382,-3.975990,-0.087076,0.573086,-0.220766,0.000000,0.614138,3,131,20,50,50,high
1783929979.936947346,17.354023,-3.997253,-0.087076,0.471877,-0.209507,0.000000,0.516295,3,131,20,50,50,high
1783929979.937082767,17.407427,-4.011704,-0.087077,0.529223,-0.252326,0.000000,0.586298,3,131,20,50,50,high
1783929980.156872272,17.468337,-4.053898,-0.087077,0.495939,-0.387119,0.000000,0.629139,3,131,20,50,50,high
1783929980.317003489,17.565125,-4.124165,-0.087077,0.551664,-0.289345,0.000000,0.622939,3,131,20,50,50,high
1783929980.797042847,17.805856,-4.216855,-0.087078,0.675526,-0.222202,0.000000,0.711132,3,131,20,50,50,high
1783929980.797151804,17.887632,-4.231638,-0.087078,0.719288,-0.231250,0.000000,0.755547,3,131,20,50,50,high
1783929981.156801701,17.969408,-4.246421,-0.087078,0.857194,-0.131661,0.000000,0.867246,3,131,20,50,50,high
1783929981.157094002,18.045761,-4.254227,-0.087079,0.781004,-0.051561,0.000000,0.782704,3,131,20,50,50,high
